Provider,uniqBeneCount,ClmsperBene,TotalInscClaimAmtReimbursed,MeanInscClaimAmtReimbursed,MaxInscClaimAmtReimbursed,uniqATPhysnCount,ClmsperATPhysn,uniqOPPhysnCount,ClmsperOPPhysn,uniqOTPhysnCount,ClmsperOTPhysn,InClmsPct
PRV51037,206,2.203883495145631,342230,753.8105726872246,23000,3,151.33333333333334,3,151.33333333333334,1,454.0,0.05066079295154185
PRV51038,107,1.3177570093457944,265490,1882.9078014184397,17000,44,3.2045454545454546,16,8.8125,22,6.409090909090909,0.2127659574468085
PRV51040,69,1.2463768115942029,74470,865.9302325581396,21000,15,5.733333333333333,8,10.75,11,7.818181818181818,0.10465116279069768
PRV51041,31,1.096774193548387,7410,217.94117647058823,3200,9,3.7777777777777777,4,8.5,5,6.8,0.0
PRV51042,128,1.109375,48050,338.38028169014086,3300,52,2.730769230769231,27,5.2592592592592595,27,5.2592592592592595,0.0
PRV51043,20,1.15,4480,194.7826086956522,1100,6,3.8333333333333335,2,11.5,4,5.75,0.0
PRV51044,39,1.5128205128205128,21330,361.52542372881356,3300,1,59.0,1,59.0,1,59.0,0.0
PRV51045,29,1.0689655172413792,8390,270.64516129032256,3300,16,1.9375,4,7.75,8,3.875,0.0
PRV51046,26,1.4615384615384615,109370,2878.157894736842,38000,6,6.333333333333333,2,19.0,4,9.5,0.21052631578947367
PRV51047,11,1.0,2530,230.0,1300,10,1.1,1,11.0,5,2.2,0.0
PRV51048,33,1.1515151515151516,27700,728.9473684210526,7000,15,2.533333333333333,7,5.428571428571429,8,4.75,0.10526315789473684
PRV51049,65,1.0923076923076922,21720,305.9154929577465,3300,35,2.0285714285714285,11,6.454545454545454,21,3.380952380952381,0.0
PRV51052,37,1.2432432432432432,30800,669.5652173913044,9000,17,2.7058823529411766,5,9.2,6,7.666666666666667,0.043478260869565216
PRV51053,1,1.0,8000,8000.0,8000,1,1.0,1,1.0,1,1.0,1.0
PRV51054,40,1.425,15130,265.43859649122805,1900,3,19.0,2,28.5,2,28.5,0.0
PRV51055,22,1.0,21640,983.6363636363636,16000,6,3.6666666666666665,3,7.333333333333333,3,7.333333333333333,0.09090909090909091
PRV51056,21,1.0476190476190477,14700,668.1818181818181,5000,5,4.4,3,7.333333333333333,4,5.5,0.09090909090909091
PRV51057,4,1.25,6830,1366.0,3300,1,5.0,1,5.0,1,5.0,0.0
PRV51058,75,1.1066666666666667,107030,1289.5180722891566,57000,31,2.6774193548387095,11,7.545454545454546,17,4.882352941176471,0.060240963855421686
PRV51059,82,1.170731707317073,421060,4386.041666666667,57000,30,3.2,15,6.4,17,5.647058823529412,0.2604166666666667
PRV51060,42,1.0,43710,1040.7142857142858,14000,28,1.5,5,8.4,8,5.25,0.11904761904761904
PRV51061,67,2.1641791044776117,54940,378.8965517241379,6700,6,24.166666666666668,4,36.25,5,29.0,0.006896551724137931
PRV51062,166,2.391566265060241,153380,386.3476070528967,25000,6,66.16666666666667,4,99.25,1,397.0,0.007556675062972292
PRV51063,115,1.2956521739130435,51110,343.02013422818794,3300,3,49.666666666666664,3,49.666666666666664,0,-99.0,0.0
PRV51064,227,1.3348017621145374,360320,1189.1749174917493,37000,111,2.72972972972973,46,6.586956521739131,65,4.661538461538462,0.1188118811881188
PRV51065,26,1.0769230769230769,76570,2734.6428571428573,11000,9,3.111111111111111,4,7.0,4,7.0,0.35714285714285715
PRV51066,21,1.1428571428571428,24790,1032.9166666666667,15000,7,3.4285714285714284,5,4.8,6,4.0,0.08333333333333333
PRV51067,49,1.183673469387755,334520,5767.586206896552,83000,21,2.761904761904762,5,11.6,14,4.142857142857143,0.20689655172413793
PRV51068,214,1.219626168224299,143260,548.8888888888889,19000,79,3.3037974683544302,35,7.457142857142857,45,5.8,0.034482758620689655
PRV51070,69,1.434782608695652,125410,1266.7676767676767,22000,46,2.152173913043478,15,6.6,16,6.1875,0.10101010101010101
PRV51071,24,1.0,8550,356.25,3200,11,2.1818181818181817,2,12.0,5,4.8,0.0
PRV51072,160,1.325,119170,562.122641509434,14000,47,4.51063829787234,22,9.636363636363637,45,4.711111111111111,0.05660377358490566
PRV51074,39,1.0,41170,1055.6410256410256,15000,14,2.7857142857142856,5,7.8,5,7.8,0.1282051282051282
PRV51075,13,1.3076923076923077,8550,502.94117647058823,3000,4,4.25,2,8.5,3,5.666666666666667,0.0
PRV51076,27,1.0740740740740742,10230,352.7586206896552,3300,8,3.625,3,9.666666666666666,5,5.8,0.0
PRV51077,30,1.1,204350,6192.424242424242,56000,11,3.0,2,16.5,5,6.6,0.48484848484848486
PRV51078,23,1.0,78270,3403.0434782608695,16000,13,1.7692307692307692,5,4.6,5,4.6,0.391304347826087
PRV51081,131,1.5267175572519085,124080,620.4,48000,3,66.66666666666667,2,100.0,1,200.0,0.03
PRV51082,31,1.096774193548387,5470,160.88235294117646,1000,9,3.7777777777777777,3,11.333333333333334,6,5.666666666666667,0.0
PRV51083,81,1.1111111111111112,18100,201.11111111111111,3300,18,5.0,8,11.25,15,6.0,0.0
PRV51084,85,1.2941176470588236,215580,1959.8181818181818,45000,32,3.4375,12,9.166666666666666,15,7.333333333333333,0.18181818181818182
PRV51086,115,1.208695652173913,446170,3209.856115107914,57000,24,5.791666666666667,16,8.6875,18,7.722222222222222,0.22302158273381295
PRV51089,197,1.1573604060913705,230900,1012.719298245614,41000,72,3.1666666666666665,29,7.862068965517241,43,5.3023255813953485,0.07894736842105263
PRV51090,7,1.0,5830,832.8571428571429,3300,3,2.3333333333333335,1,7.0,1,7.0,0.0
PRV51091,44,1.0,9270,210.6818181818182,2100,19,2.3157894736842106,6,7.333333333333333,13,3.3846153846153846,0.0
PRV51093,9,1.0,13710,1523.3333333333333,11000,6,1.5,3,3.0,4,2.25,0.2222222222222222
PRV51096,5,1.0,3200,640.0,2100,3,1.6666666666666667,0,-99.0,2,2.5,0.0
PRV51097,71,1.7605633802816902,44420,355.36,3500,1,125.0,1,125.0,1,125.0,0.0
PRV51098,4,1.0,300,75.0,200,2,2.0,0,-99.0,2,2.0,0.0
PRV51100,5,1.0,78000,15600.0,33000,3,1.6666666666666667,1,5.0,1,5.0,1.0
PRV51101,3,1.0,16600,5533.333333333333,13000,1,3.0,1,3.0,0,-99.0,1.0
PRV51102,11,1.0909090909090908,148000,12333.333333333334,47000,3,4.0,1,12.0,1,12.0,1.0
PRV51103,4,1.5,440,73.33333333333333,200,2,3.0,0,-99.0,2,3.0,0.0
PRV51104,9,1.3333333333333333,1900,158.33333333333334,700,2,6.0,0,-99.0,2,6.0,0.0
PRV51105,12,1.0,6540,545.0,1800,2,6.0,1,12.0,2,6.0,0.0
PRV51108,19,1.0,156000,8210.526315789473,22000,6,3.1666666666666665,3,6.333333333333333,0,-99.0,1.0
PRV51109,3,1.0,18000,6000.0,8000,1,3.0,2,1.5,0,-99.0,1.0
PRV51110,5,1.0,27000,5400.0,9000,3,1.6666666666666667,3,1.6666666666666667,0,-99.0,1.0
PRV51111,85,1.5529411764705883,54860,415.6060606060606,7010,4,33.0,2,66.0,2,66.0,0.0
PRV51112,195,1.558974358974359,105250,346.2171052631579,4100,7,43.42857142857143,7,43.42857142857143,6,50.666666666666664,0.0
PRV51113,78,1.6923076923076923,46390,351.43939393939394,3300,2,66.0,2,66.0,1,132.0,0.0
PRV51114,160,1.6375,76720,292.82442748091603,8200,5,52.4,4,65.5,3,87.33333333333333,0.0
PRV51115,6,1.1666666666666667,980,140.0,600,3,2.3333333333333335,1,7.0,3,2.3333333333333335,0.0
PRV51117,10,1.2,1950,162.5,1400,4,3.0,0,-99.0,3,4.0,0.0
PRV51118,16,1.0,136000,8500.0,22000,4,4.0,4,4.0,1,16.0,1.0
PRV51119,81,1.1728395061728396,1080580,11374.526315789473,118000,8,11.875,7,13.571428571428571,7,13.571428571428571,0.9894736842105263
PRV51120,7,1.0,52000,7428.571428571428,15000,1,7.0,1,7.0,0,-99.0,1.0
PRV51121,7,1.0,81080,11582.857142857143,45000,3,2.3333333333333335,3,2.3333333333333335,2,3.5,0.8571428571428571
PRV51122,7,1.0,1120,160.0,500,7,1.0,3,2.3333333333333335,4,1.75,0.0
PRV51123,28,1.1071428571428572,26910,868.0645161290323,5000,21,1.4761904761904763,7,4.428571428571429,9,3.4444444444444446,0.06451612903225806
PRV51125,32,1.5,131310,2735.625,30000,36,1.3333333333333333,11,4.363636363636363,11,4.363636363636363,0.25
PRV51126,14,1.4285714285714286,177000,8850.0,25000,2,10.0,2,10.0,0,-99.0,1.0
PRV51128,38,1.3157894736842106,102220,2044.4,29000,19,2.6315789473684212,11,4.545454545454546,14,3.5714285714285716,0.1
PRV51129,65,1.476923076923077,22920,238.75,2000,54,1.7777777777777777,11,8.727272727272727,29,3.310344827586207,0.0
PRV51130,7,1.0,4970,710.0,3100,2,3.5,1,7.0,2,3.5,0.0
PRV51131,8,1.0,1160,145.0,800,4,2.0,1,8.0,3,2.6666666666666665,0.0
PRV51132,6,1.3333333333333333,5330,666.25,4000,5,1.6,1,8.0,4,2.0,0.125
PRV51134,12,1.25,7610,507.3333333333333,2900,3,5.0,1,15.0,1,15.0,0.0
PRV51135,2,2.5,300,60.0,90,1,5.0,1,5.0,1,5.0,0.0
PRV51136,1,1.0,20000,20000.0,20000,1,1.0,1,1.0,0,-99.0,1.0
PRV51137,51,1.0784313725490196,16050,291.8181818181818,6000,23,2.391304347826087,9,6.111111111111111,12,4.583333333333333,0.01818181818181818
PRV51138,21,1.2380952380952381,13430,516.5384615384615,6000,7,3.7142857142857144,4,6.5,7,3.7142857142857144,0.038461538461538464
PRV51139,42,1.0238095238095237,52580,1222.7906976744187,14000,34,1.2647058823529411,8,5.375,11,3.909090909090909,0.16279069767441862
PRV51140,394,1.236040609137056,453130,930.4517453798768,16000,5,97.4,5,97.4,2,243.5,0.09650924024640657
PRV51141,37,1.9189189189189189,19490,274.50704225352115,1900,8,8.875,7,10.142857142857142,5,14.2,0.0
PRV51142,38,1.3421052631578947,104570,2050.392156862745,57000,15,3.4,5,10.2,7,7.285714285714286,0.13725490196078433
PRV51143,68,1.1323529411764706,20450,265.5844155844156,3300,26,2.9615384615384617,7,11.0,13,5.923076923076923,0.0
PRV51144,29,1.0344827586206897,61220,2040.6666666666667,33000,14,2.142857142857143,7,4.285714285714286,6,5.0,0.13333333333333333
PRV51145,161,1.2546583850931676,1606350,7952.227722772277,46000,37,5.45945945945946,8,25.25,17,11.882352941176471,0.7970297029702971
PRV51146,334,1.0538922155688624,1680910,4775.3125,57000,77,4.571428571428571,38,9.263157894736842,47,7.48936170212766,0.4602272727272727
PRV51147,32,1.0,8860,276.875,3300,23,1.391304347826087,5,6.4,10,3.2,0.0
PRV51148,263,1.2547528517110267,488660,1480.7878787878788,37000,60,5.5,28,11.785714285714286,39,8.461538461538462,0.10303030303030303
PRV51149,136,1.088235294117647,1120680,7572.1621621621625,57000,25,5.92,5,29.6,12,12.333333333333334,0.7837837837837838
PRV51151,225,1.0355555555555556,201300,863.9484978540772,16000,97,2.402061855670103,39,5.9743589743589745,55,4.236363636363636,0.0944206008583691
PRV51152,39,2.128205128205128,25770,310.48192771084337,3300,3,27.666666666666668,2,41.5,3,27.666666666666668,0.0
PRV51153,83,1.0481927710843373,71490,821.7241379310345,34000,51,1.7058823529411764,14,6.214285714285714,22,3.9545454545454546,0.04597701149425287
PRV51154,147,1.0952380952380953,45750,284.16149068322983,8100,3,53.666666666666664,3,53.666666666666664,2,80.5,0.0
PRV51155,110,1.0454545454545454,26330,228.95652173913044,3300,1,115.0,1,115.0,0,-99.0,0.0
PRV51156,425,1.275294117647059,140640,259.48339483394835,3300,3,180.66666666666666,3,180.66666666666666,1,542.0,0.0
PRV51159,506,1.1245059288537549,797790,1402.091388400703,57000,99,5.747474747474747,55,10.345454545454546,65,8.753846153846155,0.11423550087873462
PRV51160,110,1.0363636363636364,872020,7649.298245614035,57000,22,5.181818181818182,10,11.4,9,12.666666666666666,0.7894736842105263
PRV51164,334,1.1706586826347305,556980,1424.5012787723786,41000,7,55.857142857142854,5,78.2,3,130.33333333333334,0.10485933503836317
PRV51165,97,1.0103092783505154,329700,3364.285714285714,57000,62,1.5806451612903225,29,3.3793103448275863,24,4.083333333333333,0.2653061224489796
PRV51166,5,1.0,24870,4974.0,22000,4,1.25,2,2.5,0,-99.0,0.2
PRV51167,182,1.043956043956044,51980,273.57894736842104,3300,22,8.636363636363637,18,10.555555555555555,17,11.176470588235293,0.0
PRV51168,86,1.0116279069767442,80470,924.9425287356322,25000,14,6.214285714285714,7,12.428571428571429,5,17.4,0.10344827586206896
PRV51169,74,1.0405405405405406,19380,251.6883116883117,3300,51,1.5098039215686274,10,7.7,23,3.347826086956522,0.0
PRV51170,16,1.0,145820,9113.75,57000,8,2.0,5,3.2,1,16.0,0.5
PRV51171,59,1.0,13820,234.23728813559322,3300,38,1.5526315789473684,12,4.916666666666667,15,3.933333333333333,0.0
PRV51173,21,1.0476190476190477,96290,4376.818181818182,29000,12,1.8333333333333333,7,3.142857142857143,6,3.6666666666666665,0.3181818181818182
PRV51175,39,1.0512820512820513,9650,235.3658536585366,2100,21,1.9523809523809523,5,8.2,9,4.555555555555555,0.0
PRV51176,399,1.1152882205513786,145980,328.0449438202247,7500,128,3.4765625,45,9.88888888888889,89,5.0,0.0
PRV51178,64,1.015625,431180,6633.538461538462,43000,19,3.4210526315789473,4,16.25,8,8.125,0.5230769230769231
PRV51179,26,1.0,5000,192.30769230769232,1400,14,1.8571428571428572,4,6.5,8,3.25,0.0
PRV51180,86,1.5,94240,730.5426356589147,41000,3,43.0,3,43.0,0,-99.0,0.015503875968992248
PRV51181,10,1.0,2150,215.0,800,5,2.0,1,10.0,4,2.5,0.0
PRV51183,105,1.0761904761904761,355790,3148.5840707964603,38000,8,14.125,8,14.125,5,22.6,0.36283185840707965
PRV51185,8,1.0,1590,198.75,500,5,1.6,2,4.0,3,2.6666666666666665,0.0
PRV51186,2,1.0,100,50.0,50,1,2.0,1,2.0,0,-99.0,0.0
PRV51189,51,1.0980392156862746,8740,156.07142857142858,1600,11,5.090909090909091,6,9.333333333333334,8,7.0,0.0
PRV51190,64,1.03125,39310,595.6060606060606,15000,23,2.869565217391304,5,13.2,15,4.4,0.045454545454545456
PRV51191,30,1.0666666666666667,10990,343.4375,3000,22,1.4545454545454546,5,6.4,12,2.6666666666666665,0.0
PRV51194,9,1.0,18540,2060.0,14000,5,1.8,3,3.0,2,4.5,0.2222222222222222
PRV51196,432,1.6666666666666667,197060,273.69444444444446,4300,1,720.0,1,720.0,0,-99.0,0.0
PRV51198,3,2.0,360,60.0,100,2,3.0,1,6.0,2,3.0,0.0
PRV51200,16,1.1875,4420,232.6315789473684,1600,4,4.75,2,9.5,3,6.333333333333333,0.0
PRV51201,41,1.0975609756097562,10660,236.88888888888889,3300,3,15.0,1,45.0,2,22.5,0.0
PRV51202,12,1.0,5010,417.5,3100,5,2.4,1,12.0,4,3.0,0.0
PRV51203,20,1.05,15340,730.4761904761905,9010,5,4.2,3,7.0,3,7.0,0.0
PRV51204,398,1.2537688442211055,155180,310.9819639278557,3300,3,166.33333333333334,3,166.33333333333334,2,249.5,0.0
PRV51205,10,1.0,4660,466.0,3300,6,1.6666666666666667,2,5.0,1,10.0,0.0
PRV51206,10,1.0,1560,156.0,400,6,1.6666666666666667,1,10.0,3,3.3333333333333335,0.0
PRV51207,3,1.0,51000,17000.0,38000,2,1.5,2,1.5,1,3.0,1.0
PRV51209,38,1.105263157894737,9910,235.95238095238096,1700,2,21.0,2,21.0,2,21.0,0.0
PRV51210,9,1.0,2890,321.1111111111111,1400,3,3.0,2,4.5,1,9.0,0.0
PRV51211,2,1.0,100,50.0,100,2,1.0,1,2.0,1,2.0,0.0
PRV51212,15,1.0,6260,417.3333333333333,3300,2,7.5,2,7.5,2,7.5,0.0
PRV51213,2,1.0,50,25.0,30,2,1.0,1,2.0,0,-99.0,0.0
PRV51214,8,1.0,3200,400.0,1600,3,2.6666666666666665,1,8.0,2,4.0,0.0
PRV51215,10,1.0,1610,161.0,500,1,10.0,0,-99.0,0,-99.0,0.0
PRV51216,66,1.0757575757575757,15560,219.1549295774648,3300,2,35.5,2,35.5,2,35.5,0.0
PRV51217,5,1.0,2930,586.0,2100,2,2.5,0,-99.0,1,5.0,0.0
PRV51218,7,1.0,520,74.28571428571429,200,1,7.0,1,7.0,1,7.0,0.0
PRV51219,8,1.0,5330,666.25,3300,3,2.6666666666666665,1,8.0,1,8.0,0.0
PRV51221,1,1.0,70,70.0,70,1,1.0,0,-99.0,0,-99.0,0.0
PRV51222,3,1.6666666666666667,860,172.0,400,2,2.5,0,-99.0,1,5.0,0.0
PRV51224,7,1.0,3130,447.14285714285717,1400,1,7.0,0,-99.0,1,7.0,0.0
PRV51225,8,1.0,1190,148.75,500,2,4.0,1,8.0,1,8.0,0.0
PRV51226,19,1.0526315789473684,7430,371.5,2200,3,6.666666666666667,2,10.0,2,10.0,0.0
PRV51228,5,1.0,430,86.0,200,2,2.5,1,5.0,1,5.0,0.0
PRV51229,44,1.0681818181818181,12410,264.0425531914894,3000,2,23.5,2,23.5,2,23.5,0.0
PRV51230,30,1.0,12490,416.3333333333333,1800,2,15.0,1,30.0,2,15.0,0.0
PRV51231,2,1.0,16000,8000.0,8000,1,2.0,1,2.0,0,-99.0,1.0
PRV51232,1,1.0,26000,26000.0,26000,1,1.0,1,1.0,1,1.0,1.0
PRV51233,3,1.0,27000,9000.0,17000,2,1.5,1,3.0,1,3.0,1.0
PRV51234,5,1.0,29000,5800.0,13000,1,5.0,1,5.0,1,5.0,1.0
PRV51235,2,1.0,10000,5000.0,5000,1,2.0,1,2.0,0,-99.0,1.0
PRV51236,1,1.0,12000,12000.0,12000,1,1.0,1,1.0,0,-99.0,1.0
PRV51237,1,1.0,19000,19000.0,19000,1,1.0,1,1.0,0,-99.0,1.0
PRV51238,8,1.0,132000,16500.0,33000,1,8.0,1,8.0,0,-99.0,1.0
PRV51239,1,1.0,5000,5000.0,5000,1,1.0,0,-99.0,0,-99.0,1.0
PRV51240,38,1.5789473684210527,94020,1567.0,19000,24,2.5,9,6.666666666666667,12,5.0,0.18333333333333332
PRV51241,47,1.2765957446808511,90210,1503.5,22000,23,2.608695652173913,8,7.5,12,5.0,0.16666666666666666
PRV51242,87,1.2758620689655173,117200,1055.855855855856,18000,43,2.5813953488372094,12,9.25,27,4.111111111111111,0.0990990990990991
PRV51243,15,2.4,6330,175.83333333333334,2600,5,7.2,2,18.0,5,7.2,0.0
PRV51244,659,2.1471927162367224,2153990,1522.2544169611308,57000,16,88.4375,17,83.23529411764706,8,176.875,0.1413427561837456
PRV51245,58,2.9827586206896552,83630,483.4104046242775,9000,30,5.766666666666667,13,13.307692307692308,21,8.238095238095237,0.023121387283236993
PRV51247,26,1.3076923076923077,76240,2242.3529411764707,18000,13,2.6153846153846154,6,5.666666666666667,6,5.666666666666667,0.29411764705882354
PRV51248,2,1.0,23500,11750.0,23000,2,1.0,1,2.0,0,-99.0,0.5
PRV51249,101,1.2475247524752475,521330,4137.539682539683,57000,36,3.5,15,8.4,17,7.411764705882353,0.40476190476190477
PRV51250,71,1.1971830985915493,22560,265.4117647058824,2800,32,2.65625,13,6.538461538461538,23,3.6956521739130435,0.0
PRV51251,10,1.1,3590,326.3636363636364,1500,8,1.375,1,11.0,4,2.75,0.0
PRV51252,76,1.144736842105263,154930,1780.8045977011495,27000,35,2.4857142857142858,13,6.6923076923076925,14,6.214285714285714,0.20689655172413793
PRV51253,76,1.118421052631579,21740,255.76470588235293,3300,40,2.125,8,10.625,22,3.8636363636363638,0.0
PRV51255,62,1.1935483870967742,40570,548.2432432432432,7000,21,3.5238095238095237,11,6.7272727272727275,16,4.625,0.02702702702702703
PRV51256,80,1.1875,38550,405.7894736842105,14800,38,2.5,15,6.333333333333333,20,4.75,0.0
PRV51258,12,1.1666666666666667,99660,7118.571428571428,28000,6,2.3333333333333335,4,3.5,4,3.5,0.5714285714285714
PRV51259,19,1.105263157894737,151960,7236.190476190476,84000,9,2.3333333333333335,2,10.5,5,4.2,0.19047619047619047
PRV51260,55,1.1272727272727272,92390,1490.1612903225807,43000,24,2.5833333333333335,7,8.857142857142858,10,6.2,0.04838709677419355
PRV51261,123,1.1544715447154472,270170,1902.605633802817,29000,48,2.9583333333333335,21,6.761904761904762,21,6.761904761904762,0.18309859154929578
PRV51262,52,1.1538461538461537,16270,271.1666666666667,2200,19,3.1578947368421053,5,12.0,11,5.454545454545454,0.0
PRV51263,37,1.1891891891891893,218170,4958.409090909091,57000,10,4.4,3,14.666666666666666,8,5.5,0.4090909090909091
PRV51264,35,1.1142857142857143,5270,135.12820512820514,1100,22,1.7727272727272727,6,6.5,7,5.571428571428571,0.0
PRV51265,84,1.9047619047619047,45770,286.0625,3300,5,32.0,5,32.0,5,32.0,0.0
PRV51266,82,1.1219512195121952,102900,1118.4782608695652,33000,47,1.9574468085106382,17,5.411764705882353,24,3.8333333333333335,0.10869565217391304
PRV51267,14,1.0,12870,919.2857142857143,6000,4,3.5,3,4.666666666666667,3,4.666666666666667,0.14285714285714285
PRV51271,90,1.3666666666666667,43180,351.0569105691057,13000,21,5.857142857142857,12,10.25,23,5.3478260869565215,0.016260162601626018
PRV51272,31,2.5483870967741935,50760,642.5316455696203,18000,3,26.333333333333332,1,79.0,3,26.333333333333332,0.02531645569620253
PRV51273,387,1.4289405684754521,131340,237.50452079566003,6600,131,4.221374045801527,50,11.06,75,7.373333333333333,0.0
PRV51274,48,1.2083333333333333,175720,3029.655172413793,59000,31,1.8709677419354838,10,5.8,10,5.8,0.1724137931034483
PRV51276,60,1.1166666666666667,133980,1999.7014925373135,20000,42,1.5952380952380953,13,5.153846153846154,22,3.0454545454545454,0.208955223880597
PRV51277,54,1.0925925925925926,141190,2393.0508474576272,53000,27,2.185185185185185,9,6.555555555555555,13,4.538461538461538,0.1694915254237288
PRV51279,186,1.2043010752688172,59840,267.14285714285717,3300,21,10.666666666666666,15,14.933333333333334,18,12.444444444444445,0.0
PRV51280,34,1.1470588235294117,20250,519.2307692307693,5060,13,3.0,5,7.8,7,5.571428571428571,0.0
PRV51281,200,1.295,89470,345.44401544401546,5020,3,86.33333333333333,3,86.33333333333333,3,86.33333333333333,0.0
PRV51282,51,1.1568627450980393,77330,1310.677966101695,24000,22,2.6818181818181817,12,4.916666666666667,10,5.9,0.13559322033898305
PRV51284,223,1.6905829596412556,279860,742.3342175066313,51000,10,37.7,10,37.7,5,75.4,0.04509283819628647
PRV51285,109,1.5412844036697249,196120,1167.3809523809523,57000,33,5.090909090909091,16,10.5,22,7.636363636363637,0.08928571428571429
PRV51286,62,1.1290322580645162,145170,2073.8571428571427,33000,10,7.0,3,23.333333333333332,6,11.666666666666666,0.21428571428571427
PRV51287,46,1.6956521739130435,25700,329.4871794871795,3300,3,26.0,2,39.0,2,39.0,0.0
PRV51288,8,1.0,37360,4670.0,29000,5,1.6,3,2.6666666666666665,0,-99.0,0.375
PRV51289,38,2.4210526315789473,46300,503.2608695652174,3300,2,46.0,2,46.0,2,46.0,0.0
PRV51290,81,1.3950617283950617,14990,132.65486725663717,1300,14,8.071428571428571,8,14.125,14,8.071428571428571,0.0
PRV51292,16,1.375,3970,180.45454545454547,800,7,3.142857142857143,3,7.333333333333333,6,3.6666666666666665,0.0
PRV51293,64,1.375,21200,240.9090909090909,2600,7,12.571428571428571,6,14.666666666666666,8,11.0,0.0
PRV51295,6,1.1666666666666667,1950,278.57142857142856,1200,4,1.75,1,7.0,2,3.5,0.0
PRV51296,27,1.1111111111111112,38630,1287.6666666666667,17000,7,4.285714285714286,3,10.0,4,7.5,0.1
PRV51297,46,1.5217391304347827,77090,1101.2857142857142,18000,11,6.363636363636363,3,23.333333333333332,8,8.75,0.07142857142857142
PRV51298,53,1.8867924528301887,31120,311.2,4060,2,50.0,2,50.0,5,20.0,0.0
PRV51299,27,1.3703703703703705,6230,168.3783783783784,1600,12,3.0833333333333335,4,9.25,8,4.625,0.0
PRV51300,32,1.625,107540,2068.076923076923,30000,3,17.333333333333332,2,26.0,2,26.0,0.1346153846153846
PRV51301,63,1.7777777777777777,136910,1222.4107142857142,53000,7,16.0,5,22.4,8,14.0,0.05357142857142857
PRV51302,34,1.2647058823529411,80710,1876.9767441860465,25000,9,4.777777777777778,6,7.166666666666667,6,7.166666666666667,0.23255813953488372
PRV51303,49,1.8979591836734695,36110,388.2795698924731,3000,4,23.25,4,23.25,3,31.0,0.0
