Provider,DeductibleAmtPaid_mean,DeductibleAmtPaid_max,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,OPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_max,OPAnnualReimbursementAmt_sum,OPAnnualDeductibleAmt_mean,OPAnnualDeductibleAmt_max,OPAnnualDeductibleAmt_sum,ClaimCounts,Gender,ClaimPeriod,RaceOneFrac,MajorRace,RenalDiseaseIndicator,Age,uniqBeneCount,ClmsperBene,TotalInscClaimAmtReimbursed,MeanInscClaimAmtReimbursed,MaxInscClaimAmtReimbursed,uniqATPhysnCount,ClmsperATPhysn,uniqOPPhysnCount,ClmsperOPPhysn,uniqOTPhysnCount,ClmsperOTPhysn,InClmsPct,StateCount_Uniq,MajorState,CountyCount_Uniq,MajorCounty,TotalIPAnnualReimbursementAmt,MeanIPAnnualReimbursementAmt,MaxIPAnnualReimbursementAmt,TotalIPAnnualDeductibleAmtdf,MeanIPAnnualDeductibleAmt,MaxIPAnnualDeductibleAmt,MaxHospitalDays,MedianHospitalDays,MeanHospitalDays,Chronic_Alzheimer_Frac,Chronic_Heartfailure_Frac,Chronic_KidneyDisease_Frac,Chronic_Cancer_Frac,Chronic_ObstrPulmonary_Frac,Chronic_Depression_Frac,Chronic_Diabetes_Frac,Chronic_IschemicHeart_Frac,Chronic_Osteoporasis_Frac,Chronic_rheumatoidarthritis_Frac,Chronic_stroke_Frac,Deceased_Frac,PotentialFraud
PRV52723,107.42541436464089,1068.0,11.933701657458563,12.0,2096.46408839779,18490,379460,552.707182320442,5310,100040,181,0.453,2.923,0.923,1,0.199,73.0,93,1.946236559139785,219760,1214.1436464088397,42000,4,45.25,4,45.25,5,36.2,0.0994475138121546,1,14,6,600,947510,5234.861878453039,48650,106800,590.0552486187845,4272,29.0,0.0,0.8397790055248618,0.4143646408839779,0.585635359116022,0.5414364640883977,0.1049723756906077,0.4143646408839779,0.430939226519337,0.6464088397790055,0.7845303867403315,0.3093922651933701,0.3867403314917127,0.0552486187845303,0.0,0
PRV55237,138.63247863247864,1068.0,12.0,12.0,1712.4786324786326,10630,200360,455.7264957264957,2770,53320,117,0.342,2.769,0.786,1,0.248,73.0,108,1.0833333333333333,131700,1125.6410256410256,21000,39,3.0,18,6.5,27,4.333333333333333,0.1282051282051282,3,42,20,890,660860,5648.376068376068,51380,74292,634.974358974359,4272,12.0,0.0,0.6495726495726496,0.4615384615384615,0.6153846153846154,0.452991452991453,0.1709401709401709,0.2991452991452991,0.4017094017094017,0.6837606837606838,0.7692307692307693,0.282051282051282,0.282051282051282,0.1111111111111111,0.0,0
PRV54037,0.0,0.0,12.0,12.0,2197.6470588235293,6820,37360,536.4705882352941,1890,9120,17,0.412,2.529,0.824,1,0.294,71.0,16,1.0625,10510,618.2352941176471,3300,2,8.5,3,5.666666666666667,1,17.0,0.0,1,23,3,450,95770,5633.529411764706,33000,8544,502.5882352941176,3204,0.0,0.0,0.0,0.2941176470588235,0.6470588235294118,0.6470588235294118,0.1176470588235294,0.3529411764705882,0.5882352941176471,0.8823529411764706,0.9411764705882352,0.2352941176470588,0.3529411764705882,0.2352941176470588,0.0,0
PRV53675,270.04067796610167,1068.0,11.91919191919192,11.93939393939394,2058.215488215488,27670,611290,581.986531986532,7430,172850,297,0.428,3.542,0.832,1,0.185,73.0,276,1.076086956521739,747680,2517.4410774410776,57000,90,3.3,33,9.0,56,5.303571428571429,0.2558922558922559,8,54,26,999,2078360,6997.845117845118,82200,222600,749.4949494949495,7136,36.0,0.0,1.64983164983165,0.404040404040404,0.5723905723905723,0.3771043771043771,0.1649831649831649,0.3299663299663299,0.4343434343434343,0.6902356902356902,0.7373737373737373,0.303030303030303,0.3198653198653198,0.0976430976430976,0.0168350168350168,0
PRV55839,18.623655913978496,1068.0,12.0,12.0,2491.451612903226,24620,463410,768.9247311827957,7040,143020,186,0.484,2.452,0.935,1,0.242,74.0,115,1.617391304347826,76630,411.989247311828,17000,7,26.571428571428573,4,46.5,1,186.0,0.0161290322580645,5,50,10,330,824650,4433.602150537635,71100,103172,554.6881720430108,12272,4.0,0.0,0.064516129032258,0.3333333333333333,0.6881720430107527,0.4086021505376344,0.1397849462365591,0.3172043010752688,0.478494623655914,0.6559139784946236,0.7580645161290323,0.1935483870967742,0.3602150537634409,0.1129032258064516,0.0161290322580645,0
PRV53153,234.7826086956522,1068.0,12.0,11.5,2667.9166666666665,20640,64030,470.4166666666667,4130,11290,24,0.333,4.25,1.0,1,0.167,78.5,21,1.1428571428571428,121630,5067.916666666667,40000,7,3.4285714285714284,5,4.8,7,3.4285714285714284,0.25,1,17,6,910,247400,10308.333333333334,78000,13884,578.5,2136,21.0,0.0,2.6666666666666665,0.4166666666666667,0.5833333333333334,0.4583333333333333,0.0833333333333333,0.1666666666666666,0.4583333333333333,0.75,0.7916666666666666,0.1666666666666666,0.125,0.3333333333333333,0.0,0
PRV53844,0.5660377358490566,20.0,12.0,11.924528301886792,1830.754716981132,13380,97030,546.9811320754717,2000,28990,53,0.189,1.604,0.925,1,0.302,78.0,40,1.325,7910,149.24528301886792,1000,1,53.0,1,53.0,1,53.0,0.0,1,22,1,150,77560,1463.3962264150944,21000,10112,190.7924528301887,2636,0.0,0.0,0.0,0.5471698113207547,0.5660377358490566,0.4716981132075472,0.1886792452830188,0.2452830188679245,0.3584905660377358,0.7358490566037735,0.660377358490566,0.3018867924528302,0.2452830188679245,0.0943396226415094,0.0,0
PRV51023,246.4,1068.0,12.0,12.0,2475.555555555556,17530,89120,769.4444444444445,6330,27700,36,0.417,4.667,0.694,1,0.278,70.5,35,1.0285714285714285,65610,1822.5,13000,14,2.571428571428572,8,4.5,6,6.0,0.25,1,1,7,510,191530,5320.277777777777,39000,30364,843.4444444444445,6068,11.0,0.0,1.1388888888888888,0.4444444444444444,0.5833333333333334,0.4444444444444444,0.1388888888888889,0.2777777777777778,0.4444444444444444,0.5833333333333334,0.8333333333333334,0.25,0.2222222222222222,0.1388888888888889,0.0,0
PRV51645,18.0,90.0,12.0,12.0,2898.0,5790,14490,750.0,1480,3750,5,0.6,6.4,0.6,1,0.0,69.0,5,1.0,280,56.0,100,5,1.0,1,5.0,2,2.5,0.0,1,5,3,460,21000,4200.0,21000,2136,427.2,2136,0.0,0.0,0.0,0.4,0.6,0.4,0.4,0.4,0.2,0.8,0.8,0.2,0.4,0.2,0.0,0
PRV54868,2.4761904761904763,100.0,11.885714285714286,12.0,2039.7142857142856,37090,214170,616.4761904761905,7450,64730,105,0.333,2.6,0.705,1,0.143,72.0,91,1.1538461538461535,25220,240.1904761904762,3100,1,105.0,1,105.0,1,105.0,0.0,2,32,2,200,338420,3223.04761904762,57000,47312,450.5904761904762,10068,0.0,0.0,0.0,0.4380952380952381,0.4476190476190476,0.238095238095238,0.1047619047619047,0.1714285714285714,0.3904761904761905,0.7333333333333333,0.7333333333333333,0.3047619047619048,0.3047619047619048,0.0952380952380952,0.0,0
PRV52039,0.0,0.0,12.0,12.0,1798.6,23710,89930,591.2,5630,29560,50,0.44,1.52,0.86,1,0.2,71.0,46,1.0869565217391304,10170,203.4,1400,9,5.555555555555555,5,10.0,4,12.5,0.0,9,54,21,810,210270,4205.4,50400,19224,384.48,3204,0.0,0.0,0.0,0.36,0.68,0.3,0.18,0.28,0.44,0.7,0.8,0.28,0.36,0.06,0.0,0
PRV54319,0.0,0.0,12.0,12.0,700.0,700,700,460.0,460,460,1,0.0,1.0,1.0,1,0.0,84.0,1,1.0,100,100.0,100,1,1.0,1,1.0,1,1.0,0.0,1,25,1,40,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
PRV54148,0.0,0.0,12.0,12.0,1250.0,1250,1250,1260.0,1260,1260,1,1.0,1.0,1.0,1,0.0,77.0,1,1.0,90,90.0,90,1,1.0,0,-99.0,1,1.0,0.0,1,24,1,740,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
PRV57732,237.16,1068.0,12.0,11.98,1551.0,11050,77550,580.0,5260,29000,50,0.42,2.6,0.9,1,0.14,73.5,46,1.0869565217391304,88140,1762.8,17000,18,2.7777777777777777,7,7.142857142857143,16,3.125,0.22,1,45,8,970,208260,4165.2,58500,29904,598.08,3204,18.0,0.0,1.38,0.54,0.6,0.42,0.22,0.32,0.48,0.76,0.7,0.2,0.2,0.12,0.0,0
PRV53454,0.0,0.0,12.0,12.0,2278.4,8110,56960,593.2,4330,14830,25,0.32,2.28,0.76,1,0.32,67.0,21,1.1904761904761905,5580,223.2,2500,14,1.7857142857142858,3,8.333333333333334,6,4.166666666666667,0.0,2,19,8,690,106010,4240.4,39150,16020,640.8,3204,0.0,0.0,0.0,0.36,0.68,0.52,0.16,0.36,0.36,0.8,0.92,0.28,0.24,0.12,0.0,0
PRV55649,0.0,0.0,12.0,12.0,1270.0,1270,2540,530.0,530,1060,2,0.0,1.0,1.0,1,0.0,84.5,1,2.0,100,50.0,50,1,2.0,0,-99.0,0,-99.0,0.0,1,36,1,410,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
PRV57426,2.0,70.0,11.8,12.0,1529.1666666666667,11280,91750,453.3333333333333,3780,27200,60,0.417,1.367,1.0,1,0.35,66.0,33,1.818181818181818,16240,270.6666666666667,3300,19,3.1578947368421053,5,12.0,12,5.0,0.0,1,51,10,530,214840,3580.6666666666665,72700,14952,249.2,2136,0.0,0.0,0.0,0.2666666666666666,0.4833333333333333,0.6333333333333333,0.2333333333333333,0.1666666666666666,0.4666666666666667,0.7833333333333333,0.7333333333333333,0.25,0.4333333333333333,0.2166666666666666,0.0,0
PRV55164,119.84415584415584,1068.0,11.688311688311687,11.967532467532468,1920.324675324676,11400,295730,582.2077922077922,3390,89660,154,0.403,2.019,0.799,1,0.156,73.0,113,1.3628318584070795,239760,1556.8831168831168,36000,38,4.052631578947368,17,9.058823529411764,20,7.7,0.1103896103896103,1,34,9,970,963910,6259.1558441558445,65000,82564,536.1298701298701,4272,24.0,0.0,0.7987012987012987,0.461038961038961,0.6168831168831169,0.3896103896103896,0.1688311688311688,0.2987012987012987,0.461038961038961,0.6103896103896104,0.7727272727272727,0.3441558441558441,0.2337662337662337,0.0714285714285714,0.0129870129870129,0
PRV51601,0.0,0.0,12.0,12.0,2555.714285714286,22020,35780,762.8571428571429,6090,10680,14,0.357,2.429,0.857,1,0.143,75.0,14,1.0,3690,263.57142857142856,2900,6,2.333333333333333,2,7.0,4,3.5,0.0,1,5,3,590,14030,1002.1428571428572,6030,3204,228.8571428571429,1068,0.0,0.0,0.0,0.4285714285714285,0.6428571428571429,0.2142857142857142,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.7857142857142857,0.2857142857142857,0.3571428571428571,0.0,0.0,0
PRV54834,413.0,1068.0,12.0,11.625,2606.875,21500,41710,830.625,5050,13290,16,0.5,4.438,0.75,1,0.375,71.5,15,1.0666666666666669,59300,3706.25,24000,8,2.0,4,4.0,2,8.0,0.375,2,32,7,300,174440,10902.5,62000,21224,1326.5,5204,5.0,0.0,1.3125,0.4375,0.6875,0.5,0.0,0.4375,0.5,0.6875,0.875,0.3125,0.3125,0.0625,0.0,0
PRV51556,190.7142857142857,1068.0,12.0,11.714285714285714,2420.714285714286,20210,135560,693.2142857142857,4500,38820,56,0.464,4.196,0.786,1,0.179,74.0,56,1.0,138250,2468.75,30000,47,1.1914893617021276,11,5.090909090909091,15,3.733333333333333,0.1785714285714285,3,54,18,999,285420,5096.785714285715,76460,28268,504.7857142857143,3704,23.0,0.0,1.5714285714285714,0.3571428571428571,0.5714285714285714,0.4464285714285714,0.1428571428571428,0.3035714285714285,0.3928571428571428,0.7142857142857143,0.7857142857142857,0.3928571428571428,0.375,0.1071428571428571,0.0178571428571428,0
PRV54313,5.0,40.0,12.0,11.8125,2734.375,20620,43750,587.5,3200,9400,16,0.375,4.875,0.75,1,0.25,72.0,16,1.0,7070,441.875,3300,4,4.0,3,5.333333333333333,3,5.333333333333333,0.0,1,25,3,600,78630,4914.375,38390,8544,534.0,2136,0.0,0.0,0.0,0.625,0.5625,0.625,0.0625,0.375,0.4375,0.75,0.6875,0.1875,0.375,0.125,0.0,0
PRV52713,2.1666666666666665,80.0,12.0,12.0,2793.1666666666665,7190,167590,596.3333333333334,1380,35780,60,0.333,2.933,0.617,1,0.033,72.5,21,2.857142857142857,14260,237.66666666666663,2300,2,30.0,1,60.0,2,30.0,0.0,1,14,6,987,382760,6379.333333333333,57500,27768,462.8,2136,0.0,0.0,0.0,0.5166666666666667,0.5833333333333334,0.1166666666666666,0.0166666666666666,0.2,0.6666666666666666,0.5333333333333333,0.6333333333333333,0.1333333333333333,0.55,0.0166666666666666,0.0,0
PRV52017,83.62589928057554,1068.0,12.0,11.95,2392.678571428572,33130,669950,634.1071428571429,10520,177550,280,0.407,3.361,0.896,1,0.168,74.0,262,1.068702290076336,304770,1088.4642857142858,32000,48,5.833333333333333,30,9.333333333333334,39,7.17948717948718,0.0821428571428571,16,52,44,910,1417080,5061.0,65500,151088,539.6,4272,14.0,0.0,0.45,0.3678571428571429,0.5821428571428572,0.4357142857142857,0.1678571428571428,0.3178571428571428,0.4428571428571428,0.7107142857142857,0.7714285714285715,0.325,0.3785714285714285,0.1142857142857142,0.0035714285714285,0
PRV52252,2.6923076923076925,70.0,12.0,12.0,1400.7692307692307,6820,36420,414.61538461538464,2160,10780,26,0.615,2.308,0.731,1,0.077,77.0,26,1.0,2130,81.92307692307692,500,2,13.0,1,26.0,1,26.0,0.0,1,10,1,50,181620,6985.384615384615,47000,16020,616.1538461538462,3204,0.0,0.0,0.0,0.4615384615384615,0.7692307692307693,0.5,0.1923076923076923,0.3461538461538461,0.3846153846153846,0.6923076923076923,0.7692307692307693,0.2307692307692307,0.3076923076923077,0.1538461538461538,0.0384615384615384,0
PRV56471,4.418604651162791,100.0,12.0,12.0,2661.860465116279,34450,114460,727.6744186046511,6780,31290,43,0.488,3.395,0.93,1,0.093,74.0,21,2.0476190476190474,10490,243.95348837209303,1700,10,4.3,6,7.166666666666667,9,4.777777777777778,0.0,1,44,4,940,95340,2217.2093023255816,30000,8544,198.69767441860463,2136,0.0,0.0,0.0,0.5116279069767442,0.6976744186046512,0.3488372093023256,0.0930232558139534,0.5348837209302325,0.4418604651162791,0.8604651162790697,0.813953488372093,0.1627906976744186,0.3023255813953488,0.0697674418604651,0.0465116279069767,0
PRV52074,84.52482269503547,1068.0,12.0,11.914893617021276,1735.8156028368794,28700,244750,536.3829787234042,6850,75630,141,0.475,2.362,0.858,1,0.191,75.0,134,1.0522388059701493,161600,1146.099290780142,33000,49,2.877551020408163,26,5.423076923076923,30,4.7,0.0780141843971631,9,45,30,850,1024370,7265.035460992908,98240,80964,574.2127659574468,4272,15.0,0.0,0.425531914893617,0.3475177304964539,0.5602836879432624,0.375886524822695,0.1489361702127659,0.3404255319148936,0.3971631205673759,0.6666666666666666,0.7304964539007093,0.2340425531914893,0.3191489361702128,0.0709219858156028,0.0141843971631205,0
PRV53416,12.96551724137931,1068.0,11.724137931034482,11.93103448275862,4597.701149425287,46630,400000,1120.574712643678,10800,97490,87,0.437,2.839,0.77,1,0.195,70.0,59,1.4745762711864407,50840,584.3678160919541,14000,14,6.214285714285714,7,12.428571428571429,11,7.909090909090909,0.0114942528735632,2,45,8,390,588870,6768.620689655172,50540,92400,1062.0689655172414,19068,3.0,0.0,0.0344827586206896,0.5977011494252874,0.6896551724137931,0.4367816091954023,0.1034482758620689,0.3563218390804598,0.425287356321839,0.7816091954022989,0.8390804597701149,0.2528735632183908,0.1839080459770115,0.0459770114942528,0.0114942528735632,0
PRV54459,0.0,0.0,12.0,12.0,4042.222222222222,22650,36380,1031.111111111111,5060,9280,9,0.222,3.222,1.0,1,0.111,73.0,9,1.0,3080,342.22222222222223,2200,2,4.5,1,9.0,2,4.5,0.0,1,26,1,910,62000,6888.888888888889,44000,4204,467.1111111111111,2136,0.0,0.0,0.0,0.3333333333333333,0.7777777777777778,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.0,0.0,0
PRV55233,7.903743315508021,1068.0,11.97326203208556,12.0,1996.844919786096,23560,373410,703.5828877005348,4310,131570,187,0.551,2.583,0.84,1,0.128,74.0,99,1.8888888888888888,54940,293.7967914438503,4000,33,5.666666666666667,14,13.357142857142858,19,9.842105263157896,0.0053475935828877,4,44,21,913,880680,4709.5187165775405,77000,121984,652.3208556149733,6136,4.0,0.0,0.0213903743315508,0.4491978609625668,0.5935828877005348,0.3957219251336898,0.1336898395721925,0.2994652406417112,0.5187165775401069,0.8181818181818182,0.7540106951871658,0.3155080213903743,0.2994652406417112,0.0588235294117647,0.0053475935828877,0
PRV54840,0.0,0.0,12.0,12.0,3851.153846153846,22330,100130,939.6153846153846,4980,24430,26,0.423,2.385,0.769,1,0.308,70.5,21,1.238095238095238,6520,250.7692307692308,1900,12,2.1666666666666665,1,26.0,7,3.7142857142857135,0.0,2,45,2,480,205940,7920.7692307692305,37200,20292,780.4615384615385,3204,0.0,0.0,0.0,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.1538461538461538,0.2692307692307692,0.2692307692307692,0.8076923076923077,0.8846153846153846,0.1923076923076923,0.2307692307692307,0.2307692307692307,0.0384615384615384,0
PRV51251,0.0,0.0,12.0,12.0,1620.909090909091,3360,17830,434.54545454545456,860,4780,11,0.727,4.818,0.909,1,0.273,68.0,10,1.1,3590,326.3636363636364,1500,8,1.375,1,11.0,4,2.75,0.0,2,54,10,999,66940,6085.454545454545,26960,8544,776.7272727272727,3204,0.0,0.0,0.0,0.2727272727272727,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.3636363636363636,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.1818181818181818,0.0,0.0,0
PRV56905,3.333333333333333,50.0,12.0,11.933333333333334,4244.0,16120,63660,1261.3333333333333,4900,18920,15,0.667,5.667,0.867,1,0.467,73.0,13,1.1538461538461535,6080,405.3333333333333,1600,9,1.6666666666666667,4,3.75,4,3.75,0.0,1,45,5,940,41600,2773.333333333333,20600,6408,427.2,2136,0.0,0.0,0.0,0.5333333333333333,0.7333333333333333,0.5333333333333333,0.1333333333333333,0.2666666666666666,0.6666666666666666,0.7333333333333333,0.8,0.5333333333333333,0.3333333333333333,0.2666666666666666,0.0,0
PRV57183,3.8461538461538463,100.0,12.0,12.0,2485.769230769231,13700,129260,683.8461538461538,3860,35560,52,0.442,2.654,0.827,1,0.173,73.5,45,1.1555555555555554,13170,253.2692307692308,1600,24,2.1666666666666665,8,6.5,15,3.466666666666667,0.0,3,51,12,962,163580,3145.769230769231,29210,24564,472.38461538461536,2136,0.0,0.0,0.0,0.4230769230769231,0.4615384615384615,0.3269230769230769,0.0576923076923076,0.3269230769230769,0.4423076923076923,0.6538461538461539,0.7115384615384616,0.25,0.3269230769230769,0.0192307692307692,0.0,0
PRV52758,0.0,0.0,12.0,12.0,950.0,1580,3800,307.5,810,1230,4,0.5,1.0,1.0,1,0.0,78.5,4,1.0,130,32.5,80,4,1.0,0,-99.0,2,2.0,0.0,1,14,1,141,19000,4750.0,12000,3204,801.0,2136,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.75,0.75,0.75,0.25,0.25,0.0,0.0,0
PRV55900,449.6842105263158,1068.0,11.36842105263158,12.0,2516.842105263158,22190,47820,701.0526315789474,5200,13320,19,0.421,2.421,0.947,1,0.211,78.0,19,1.0,113810,5990.0,33000,15,1.2666666666666666,4,4.75,4,4.75,0.4210526315789473,2,39,9,650,221220,11643.157894736842,45800,16020,843.1578947368421,3204,9.0,0.0,1.8421052631578947,0.3157894736842105,0.5263157894736842,0.4736842105263157,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.5789473684210527,0.7894736842105263,0.4736842105263157,0.2105263157894736,0.0526315789473684,0.0,0
